Position,Region,Name, VolInBill ,NumProps,Prop Type
Seller,Australia,CBUS PROPERTY, 0.81 ,4,All
Seller,Australia,RETAIL DIRECT PROPERTY, 0.80 ,16,All
Seller,Australia,WESFARMERS, 0.79 ,34,All
Seller,Australia,GPT GROUP, 0.76 ,5,All
Seller,Australia,TAHL, 0.74 ,32,All
Seller,Australia,FEDERATION CENTRES, 0.69 ,7,All
Seller,Australia,STOCKLAND, 0.66 ,8,All
Seller,Australia,MORGAN STANLEY, 0.63 ,6,All
Seller,Australia,MIRVAC GROUP, 0.63 ,8,All
Seller,Australia,LEND LEASE, 0.62 ,5,All
Seller,Australia,CHARTER HALL, 0.56 ,9,All
Seller,Australia,BROOKFIELD ASSET MGMT, 0.52 ,5,All
Seller,Australia,SARACEN PROPERTIES (..., 0.44 ,1,All
Seller,Australia,NSW GOVERNMENT, 0.42 ,7,All
Seller,Australia,EUREKA FUNDS MANAGEM..., 0.39 ,3,All
Seller,Australia,GROSVENOR, 0.37 ,2,All
Seller,Australia,CENTURIA CAPITAL LTD, 0.36 ,6,All
Buyer,Europe,PATRIZIA IMMOBILIEN AG, 6.45 ,151,All
Buyer,Europe,BLACKSTONE, 4.00 ,498,All
Buyer,Europe,NORGES BANK INVT MGMT, 3.91 ,90,All
Buyer,Europe,KUWAIT INVESTMENT AU..., 3.24 ,7,All
Buyer,Europe,QATAR INVESTMENT AUT..., 3.20 ,9,All
Buyer,Europe,PRUDENTIAL PLC, 3.01 ,53,All
Buyer,Europe,GIC (GOVT OF SINGAPO..., 2.94 ,16,All
Buyer,Europe,LEGAL & GENERAL PROP..., 2.86 ,147,All
Buyer,Europe,CARREFOUR, 2.73 ,127,All
Buyer,Europe,SAFE, 2.38 ,16,All
Buyer,Europe,ALLIANZ, 2.33 ,68,All
Buyer,Europe,ABU DHABI INVT AUTHO..., 2.29 ,45,All
Buyer,Europe,DEKABANK, 2.29 ,18,All
Buyer,Europe,UNION INVESTMENT RE, 2.21 ,24,All
Buyer,Europe,AXA GROUP, 2.17 ,42,All
Buyer,Europe,HINES, 2.09 ,15,All
Buyer,Europe,O1 PROPERTIES, 1.78 ,4,All
Buyer,Europe,IMMOFINANZ, 1.71 ,24,All
Buyer,Europe,STARWOOD CAPITAL GROUP, 1.70 ,41,All
Buyer,Europe,AGC EQUITY PARTNERS, 1.55 ,1,All
Seller,Europe,BLACKSTONE, 5.05 ,30,All
Seller,Europe,GBW GRUPPE, 3.30 ,4,All
Seller,Europe,BAYERNLB, 3.25 ,3,All
Seller,Europe,KLEPIERRE, 3.20 ,134,All
Seller,Europe,ABERDEEN ASSET MGMT, 3.19 ,67,All
Seller,Europe,DEUTSCHE ASSET/WEALT..., 3.19 ,8,All
Seller,Europe,AVIVA PLC, 2.72 ,42,All
Seller,Europe,AXA GROUP, 2.42 ,62,All
Seller,Europe,HERMES, 2.37 ,37,All
Seller,Europe,MORGAN STANLEY, 2.19 ,108,All
Seller,Europe,VTB BANK, 2.15 ,6,All
Seller,Europe,CAISSE DE DEPOT, 2.15 ,12,All
Seller,Europe,AVESTUS CAPITAL PART..., 2.13 ,4,All
Seller,Europe,UBS, 2.09 ,22,All
Seller,Europe,AIG/LINCOLN, 2.06 ,4,All
Seller,Europe,ARCAPITA BANK, 2.03 ,64,All
Seller,Europe,RBS GROUP, 1.91 ,98,All
Seller,Europe,COMMERZBANK, 1.84 ,10,All
Seller,Europe,CA IMMOBILIEN ANLAGEN, 1.82 ,41,All
Seller,Europe,TPG CAPITAL, 1.81 ,2,All
Buyer,MidEast,INVESTMENT CORPORATI..., 1.50 ,1,All
Buyer,MidEast,HAREL INSURANCE INVTS, 0.14 ,2,All
Buyer,MidEast,IDB GROUP, 0.12 ,2,All
Buyer,MidEast,AZRIELI GROUP, 0.10 ,1,All
Buyer,MidEast,ALONY HETZ PROPERTY ..., 0.09 ,2,All
Buyer,MidEast,AL MAZAYA REAL ESTAT..., 0.08 ,1,All
Buyer,MidEast,EXCELLENCE INVESTMEN..., 0.04 ,1,All
Buyer,MidEast,EMIRATES NBD, 0.03 ,1,All
Buyer,MidEast,SELLA CAPITAL REAL E..., 0.02 ,1,All
Buyer,MidEast,PRUDENTIAL RE INVEST..., 0.02 ,1,All
Buyer,MidEast,MUBADALA DEVELOPMENT, 0.02 ,1,All
Buyer,MidEast,LEVINSTEIN PROPERTIES, 0.01 ,1,All
Buyer,MidEast,NADLANS, 0.01 ,1,All
Buyer,MidEast,REALITY INVESTMENT F..., 0.01 ,1,All
Seller,MidEast,DUBAI WORLD, 1.69 ,3,All
Seller,MidEast,OFER INVESTMENTS, 0.12 ,2,All
