title,author,pub
Girl in khaki /,"Craig, Georgia.","New York : Arcadia House, Inc., 1944"
"Beast of the East, and other stories of war-time Burma, China, India and Ceylon,","Vaswani, B. J.","[Karachi, Prof. B.J. Vaswani, 1945"
The End of the affair /,"Greene, Graham, 1904-1991.","London : William Heinemann, 1951"
"The Moon is down, a novel /","Steinbeck, John, 1902-1968.","New York : Viking press, 1952"
The fall of Paris /,"Erenburg, Ilia, 1891-1967.","London : May Fair Books, 1942"
The dawn is red /,"Manton, James.","London : John Spencer, 1950"
Jack the distributor.,"Majewski, Witold.",London 1942
"Stout heart, and other stories","Lavrenev, Boris, 1891-1959.","Moscow, Foreign Languages Pub. House, 1943"
The Caine mutiny a novel of World War II /,"Wouk, Herman, 1915-","Garden City, N.Y. : Doubleday, 1951"
"Cherry Ames, senior nurse","Wells, Helen",New York Grosset & Dunlap 1944
Flare path : a novel of the North Atlantic bomber patrol /,"Clevely, Hugh.; Clevely, Hugh.","Cleveland : World,  1943, 1942"
In camera /,"Gloag, John, 1896-1981.","London : Cassell and Co., 1948"
Blood for breakfast; [a novel.].,"Robbins, R. Cynewulf.","New York, Pageant Press 1955"
A time to love and a time to die. /,"Remarque, Erich Maria, 1898-1970.","New York : Harcourt, Brace, 1954"
The old mill  /,"Eppes, Allen.","New York : Gramercy Publishing, 1944"
Objective Mandalay /,"Mason, John L., novelist.","London : J. Spencer, 1950s"
Plonk's party of A.T.C. /,"Raff.; Armstrong, Anthony,","London : Methuen, 1943"
The commandos; a novel,"Arnold, Elliott, 1912-1980.","New York, London, Melbourne Rich & Cowan, 1942"
Struggle is our brother /,"Felsen, Henry Gregor, 1916-; Ishmael, Woodi,","New York : E.P. Dutton & Co.,  1946, 1943"
Echoes at Bracieux.,"Chambers, Gordon W.","Augusta, Ga. : Home Folks Publications, 1944"
Sumnariners /,"Casing, James, pseud.","London : Macmillan, 1951"
A spy at Shingle Bay /,"Woodward, Amy.; Dickison, Roy J.","Christchurch, [N.Z.] : Whitcombe & Tombs, 1941"
The three Mary Anns /,"Oldmeadow, Katherine L.","London : Cassell, 1953"
City of the soul.,"Bush, Christopher, 1885-1973.","London, Methuen 1947"
The gallery /,"Burns, John Horne, 1916-1953.","London : Secker and Warburg,  1949, 1947"
Road inland /,"Franklin, F. K. 1921-","New York : Thomas Y. Crowell, 1955"
Song of the deep : a narrative in three parts /,"Storm, Rickard Z.","Boston : House of Edinboro, 1948"
Mister Roberts : a play /,"Heggen, Thomas, 1919-1949.; Logan, Joshua.","[New York : Theatre Arts,  1950, 1948"
Sinister island squadron : a flying story of the Pacific area /,"Litten, Frederic Nelson, 1885-","London : Hutchinson's Books for Young People, 1944"
Line on Ginger /,"Maugham, Robin, 1916-1981.","New York : Avon, 1951"
No homeward course,"Havighurst, Walter, 1901-1994.","Garden City ; New York : Doubleday, Doran & Co., 1941"
The naked and the dead.,"Mailer, Norman.","New York : Modern Library, 1948"
The power house.,"Comfort, Alex.","London, 1945"
The power house,"Comfort, Alex, 1920-2000.","London : George Routledge & Sons, 1944"
Kaputt Translated from the Italian by Cesare Foligno.,"Malaparte, Curzio, 1898-1957.","New York, E.P. Dutton, 1946"
Meeting at the milestone.,"Hoel, Sigurd, 1890-1960.","London, Secker and Warburg, 1951"
Meeting at the milestone,"Hoel, Sigurd, (1890-1960); Ramsden, Evelyn,","London : Secker and Warburg, 1951"
A city of bells /,"Goudge, Elizabeth, 1900-1984.; Banbery, Fred.","New York : Pocket Books,  1949, 1936"
The secret of Rosmerstrand /,"Collins, Erroll.","London : Lutterworth Press,  1943, 1942"
Der Zug war Punktlich : und andere Erzahlungen /,"Boll, Heinrich, 1917-1985.","Koln : Bertelsmann Lesering, 1950s"
Animal allies /,"Mack, Nila Arah.; Edison, Ann,; Lazarus, Sidney,","New York : Julian Messner Inc., 1942"
Lantern on the beach /,"Houston, Noel.","[New York, N.Y. : Macfadden Publications, 1943"
The charioteer /,"Renault, Mary, 1905-1983.","London ; Melbourne : Longmans, Green, 1953"
"Guerrilla, By Lord Dunsany.","Dunsany, Edward John Moreton Drax Plunkett, Baron, 1878-1957.","London, W. Heinemann 1944"
Vanishing ships : an adventure novel classic /,"Fisher, Philip M.","New York : Novel Selections, 1943"
"No bridge to Heaven; a novel,","Wagg, Alfred.; Wagg, Valerie,","Bombay, Thacker & Co. 1945"
Red Randall at Midway,"Bowen, Robert Sidney, 1900-1977.","New York : Grosset & Dunlap, 1944"
The happy valley; a war novel.,"Roy, Jules, 1907-","London, Viking Press 1952"
Lost island,"Hall, James Norman",London Collins 1945
Bomber : a strange adventure in which a German airman finds the answers to his questions /,"Baume, Eric, 1900-1967.",1941
Officers and gentlemen /,"Waugh, Evelyn, 1903-1966.","Boston : Little, Brown, 1955"
Ships with wings /,"Clevely, Hugh, 1898-1964.","London : Cassell, 1942"
Air surgeon /,"Slaughter, Frank G. 1908-2001.","New York : Pocket Books, 1943"
Terror on the island /,"Ferguson, J. A. 1871-1952.; Coll, Charles.","Philadelphia, Pa. : Philadelphia Inquirer, 1943"
Espionage agent /,"Clift, Denison, 1892-1961.","Toronto ; New York : Export Pub. Enterprises,  1950, 1944"
Pied piper /,"Shute, Nevil.","Melbourne [u.a.] : Heinemann, 1952"
Dead men rising.,"Mackenzie, Kenneth, 1913-1955.; Ferguson, John Alexander,",1951
Everything is thunder ...,"Hardy, Jocelyn Lee, 1894-","[New York City] : The American Mercury, Inc., 1947"
A Yankee flier in North Africa,"Avery, Al, 1896-1985.","New York : Grosset & Dunlap, 1943"
Typhus 7 /,"Gibson, Owen.","Sydney : Calvert Pub. Co. ; Melbourne : Distributed by Gordon and Gotch,  1940-1949?"
Wine of violence /,"Ingersoll, Ralph.","New York : Popular Library, 1952"
Northbridge rectory /,"Thirkell, Angela, 1890-1961.","New York : Pyramid Books,  1942, ?"
"American eagles : thrilling air stories, vol. 11, no. 4, Spring 1945.  Publication:  [United States : s.n.], 1945   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","American eagles : thrilling air stories, vol. 11, no. 4, Spring 1945.  Publication:  [United States : s.n.], 1945   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","[United States : s.n.], 1945"
Rowan Farm,"Benary-Isbert, Margot.; Winston, Richard,; Winston, Clara,","New York : Harcourt Brace, 1954"
The veterans,"Lambert, Eric 1921-1966",London F. Muller 1954
Ward 20 : a realistic novel /,"Bellah, James Warner, 1899-1976.","New York : Popular Library, 1953"
"Reading kit for service men.  Publication:  Holyoke, MA : Columbia Publications, 1942   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Reading kit for service men.  Publication:  Holyoke, MA : Columbia Publications, 1942   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Holyoke, MA : Columbia Publications, 1942"
The beauty of the ships : a story of the present war /,"Owen, John, 1878-","London ; New York : Hutchinson & Co., 1940"
The cruel sea /,"Monsarrat, Nicholas, 1910-1979.","New York : Penguin Books, 1951"
The cruel sea.,"Monsarrat, Nicholas, 1910-1979.","London : Cassell, 1952"
Men without country,"Nordhoff, Charles, (1887-1947); Hall, James Norman,","Boston : Little, Brown and Co.,  1942-?"
With all its thorns /,"Carey, Helen A.","New York : Arcadia House, Inc., 1943"
Short leash /,"Shurtleff, Bertrand Leslie, 1897-","London ; New York : Hurst & Blackett, 1945"
"Les cavaliers de la droute, roman.","Goffin, Robert, 1898-1984.","New York, Editions de la Maison franaise, 1941"
Dawn breaks a novel from the V-Front /,"Weiskopf, F. C. 1900-1955.; Norden, Heinz,; Norden, Ruth,, and others","New York : Duell, Sloan and Pearce, 1942"
Officers and gentlemen /,"Waugh, Evelyn, 1903-1966.","Middlesex, Eng. : Penguin, 1955"
Barry Blake of the flying fortress,"Du Bois, Gaylord, 1899-","Racine, Wis. : Whitman, 1943"
Red Randall at Pearl harbor,"Bowen, Robert Sidney, 1900-1977.","New York : Grosset & Dunlap, 1944"
When the allies swept the seas /,"Westerman, Percy F. 1876-1959.","London : Blackie, 1943"
Subchaser Jim /,"Berger, Josef, 1903-; Coggins, Jack.","Boston : Little, Brown,  1944, 1943"
"Kitty Carter, canteen girl story /","Radford, Ruby Lorraine, 1891-","Racine, Wis. : Whitman, 1944"
"The crowning of the little brown prince : a food fairy tale for children /    Author:  Phelan, Marion.  Corp",United States Food Administration.,"[Washington, D.C. : U.S. Food Administration,  1940-1945?"
Bitter passion /,"Brewster, Eliot.","New York : Phoenix Press, 1945"
Battle cry /,"Uris, Leon, 1924-2003.","New York ; Toronto : Bantam Books, 1954"
Spanish waters : a novel /,"Rooksby, Denis.","London : Museum Press, 1946"
The young lions /,"Shaw, Irwin.","London : Cape, 1950"
The young lions.,"Shaw, Irwin, 1913-1984.","New York : The Modern Library, 1949"
The young lions /,"Shaw, Irwin, 1913-1984.","London : Cape,  1954, 1949"
The young lions /,"Shaw, Irwin.","London : Cape, 1949"
Dave Dawson at Singapore,"Bowen, Robert Sidney, 1900-1977.","Akron, O. : Saalfield Pub. Co., 1942"
Dave Dawson at Singapore,"Bowen, Robert Sidney, 1900-1977.","New York : Crown Publishers, 1942"
No epitaph /,"Maxwell, Roland F.","London : Trojan Publications, 1950s"
Objective Burma /,"Enfield, R. L.","London : J. Spencer,  1950-1959?"
The widow-makers /,"Blankfort, Michael, 1907-1982.; Salter, George,","New York : Mercury Publications, 1946"
"Stronger Than Death; Short Stories of the Russians At War. Illus. by Giacomo Patri.  Publication:  San Francisco, American Russian Institute for Cultural Relations With the Soviet Union 1944   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Stronger Than Death; Short Stories of the Russians At War. Illus. by Giacomo Patri.  Publication:  San Francisco, American Russian Institute for Cultural Relations With the Soviet Union 1944   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","San Francisco, American Russian Institute for Cultural Relations With the Soviet Union 1944"
The twenty thousand thieves.,"Lambert, Eric, 1921-1966.","NY : Bantam, 1952"
The labyrinth.,"Roberts, Cecil, 1892-1976.","Garden City, New York, Doubleday, Doran & Co., 1944"
Mrs. Miniver /,"Struther, Jan, 1901-1953.","Garden City, NY : International Collectors Library, 1940"
Above and beyond /,"Jackson, L. K.","London : John Spencer, 1950s"
The last to rest : a novel /,"Raymond, Ernest 1888-1974",London [etc.] Cassell and Co. ltd 1941
Love at first flight /,"Spalding, Charles F.; Carney, Otis.","New York : Grosset & Dunlap, 1943"
Walk into hell /,"Hubler, Richard Gibson, 1912-","New York : Popular Library, 1946"
Gilbert Frankau's Winter of discontent ...,"Frankau, Gilbert, 1884-1952.","London, New York, [etc.] Hutchinson & Co., Ltd. 1941"
The true deceivers. [By] Hans W. Rosenhaupt.,"Rosenhaupt, Hans Wilhelm, 1911-1985.","New York, Dodd, Mead 1954"
Guerrilla,"Dunsany, Edward John Moreton Drax Plunkett, Baron, 1878-1957.","London : William Heinemann, 1944"
"Chico goes to the wars : a chronicle, 1933-1943 /","Longstreet, Stephen, 1907-","New York : Dutton, 1943"
Three volcanoes; [a novel].,"MacDonald, Alexander, 1908-",1944
Percolate easy /,"Buttler, William Pershing, 1918-","1947 Dissertation:  Thesis (M.A.)--University of Redlands, 1947."
The sound of the trumpet,"Hemingway, Leicester, (1915-1982)","New York : Holt, 1953"
It can't happen there! : a political impossibility /,"Isenberg, Artur.","United States : [s.n.], 1939"
The hour before the dawn /,"Maugham, W. Somerset 1874-1965.","Stockholm : Clipper Books,  1943, 1942"
The Mulberry project /,"Brownlowe, L. C.","London : John Spencer,  1945-1955?"
Stalingrad,"Plivier, Theodor, 1892-1955.","New York : Appleton-Century-Crofts, 1948"
The usurpers /,"Milosz, Czeslaw.; Wieniewska, Celina,","London : Faber and Faber, Ltd., 1955"
Red Randall over Tokyo,"Bowen, Robert Sidney, 1900-1977.","New York : Grosset & Dunlap, 1944"
"Pathfinders, : a novel by Cecil Lewis. -.","Lewis, Cecil, 1898-1997.","London : P. Davies, 1943"
Victorious island; drawings by Gerard Hordyk.,"Van der Haas, Henrietta.; Hordyk, Gerard,","New York, Harcourt, Brace, 1947"
Les noyers de L'Altenburg.,"Malraux, Andr, 1901-1976.","Paris : Gallimard, 1948"
No time to look back /,"Greener, Leslie, 1900-1974.","[Paris] : Le Club Francais du livre, 1951"
Limit of darkness : a novel [about the men of Henderson field],"Hunt, Howard",New York Random House 1944
The devil before us /,"Simmons, Robert K.","London : J. Spencer, 1950s"
Les noyers de L'Altenburg.,"Malraux, Andr, 1901-1976.","Paris : Gallimard, 1948"
"""This above all.""","Knight, Eric,","Chicago, Ill. : Time Inc., 1942"
A Yankee flier with the R.A.F.,"Avery, Al, 1896-1985.","New York ; Grosset & Dunlap, 1941"
The Men of the Burma Road ... Written and illustrated by Chiang Yee.,"Chiang, Yee, 1903-1977.","Methuen & Co.: London, 1942"
The Men of the Burma Road ... Written and illustrated by Chiang Yee.,"Chiang, Yee, 1903-1977.","Pp. vii. 88. Methuen & Co.: London, 1942"
Ships may proceed; more tales of a minesweeper.,"Fane, Robert, pseud.","London, W.H. Allen & co. 1943"
A Yankee flier in the south Pacific,"Avery, Al, 1896-1985.","New York : Grosset & Dunlap, 1943"
"Undefeated,","Hutchens, Paul, 1902-","Chicago, Moody Press 1945"
Dreaming true /,"Bowman, Cecily, 1900-","New York : Arcadia House, 1945"
Officers and gentlemen /,"Waugh, Evelyn, 1903-1966.","Boston : Little, Brown, 1955"
The last inspection,"Lewis, Alun, 1915-1944.","London : George Allen & Unwin, 1942"
The goodly seed,"Wyllie, John 1914-",London Secker & Warburg 1954
Valiant comrades : a story of our dogs of war /,"Knight, Ruth Adams, 1898-","Garden City, N.Y. : Doubleday, Doran & Co., 1945"
Through a lens darkly /,"Seldte, Franz, 1882-1947.","London : Hutchinson, 1945"
The people immortal,"Grossman, Vasilii Semenovich.; Donnelly, Elizabeth.","Moscow : Foreign Languages Pub. House, 1943"
Dave Dawson with the Eighth Air Force,"Bowen, Robert Sidney, 1900-1977.","New York : Crown Publishers, 1944"
The day the century ended /,"Gwaltney, Francis Irby, 1921-1981.","Dayton, Ohio : McCall Corporation, 1955"
The bridge over the River Kwai/,"Boulle, Pierre, 1912-; Fielding, Xan,","New York: Vanguard, 1954"
"Papers of Norman Booth, 1940-2000.","Norman, Booth W., 1912-2001.",1940-2000
The bridge over the River Kwai /,"Boulle, Pierre. 1912-1994.","New York : Vanguard Press, 1954"
The bridge over the River Kwai /,"Boulle, Pierre 1912-","New York : Vanguard Press, 1954"
The Caine mutiny : a novel of World War II /,"Wouk, Herman, 1915-","Garden City, N. Y. : Doubleday, 1951"
Unashamed /,"Lindsay, Perry.","Chicago : Century Publications, 1945"
Assignment in Brittany /,"MacInnes, Helen, 1907-1985.","London : Transworld Publishers, 1954"
Assignment in Brittany /,"MacInnes, Helen Schriftstellerin, 1907-1985.","Boston : Little, Brown and Co, 1942"
Assignment in Brittany /,"MacInnes, Helen, 1907-1985.","San Diego : Harcourt Brace Jovanovich, 1942"
Flak : the story of a canine hero of the war /,"Goulden, Shirley.; Abbey, J.","London : W. H. Allen & Co., Ltd., 1943"
The bridge over the River Kwai.,"Boulle, Pierre, 1912-1994.","New York, Bantam 1954"
"Soldier, sail north","Pattinson, James.","London : Harrap,  1954-?"
"Capt. Marvel Jr. and the iron heel of the Huns!  Publication:  Greenwich, Conn. : Fawcett Publications, Inc., 1942   Document:  English :  Book   :  Juvenile audience         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Capt. Marvel Jr. and the iron heel of the Huns!  Publication:  Greenwich, Conn. : Fawcett Publications, Inc., 1942   Document:  English :  Book   :  Juvenile audience         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Greenwich, Conn. : Fawcett Publications, Inc., 1942"
The man in the gray flannel suit,"Wilson, Sloan, 1920-2003.",1955
The man in the gray flannel suit,"Wilson, Sloan, 1920-2003.",1955
Red Randall on active duty,"Bowen, Robert Sidney, 1900-1977.","New York : Grosset & Dunlap, 1944"
Mr. Glencannon ignores the war /,"Gilpatric, Guy, 1896-1950.; Gilpatric, Guy,","New York : Editions for the Armed Services, Inc., a non-profit organization established by The Council on Books in Wartime, 1943"
Mr. Glencannon ignores the war.,"Gilpatric, Guy, 1896-1950.","[Mattituck, N.Y.] : American Reprint Co.,  1944, 1943"
Tales of the South Pacific / M,"Michener, James A. 1907-1997.","New York : The Macmillan Company, 1947"
Desert : the only worthy symbol is the symbol of faith /,"Baume, Eric, 1900-1967.",1943
Days and nights; a novel.,"Simonov, Konstantin Mikhailovich, 1915-","London, Hutchinson International Authors 1953"
Le silence de la mer /,"Vercors, 1902-","London : Macmillan, 1955"
De verloren vallei /,"Kampen, Anthony C. van, 1911-","Amsterdam : V. h. C. de Boer Jr., 1952"
Stalingrad the death of an army /,"Plivier, Theodor, 1892-1955.","London : Athenum Pub. Co., 1948"
"Gilbert Frankau's Air ministry, room 28","Frankau, Gibert, 1884-1952.","New York : E.P. Dutton & Co., Inc., 1942"
The feared and the fearless : a novel /,"Wilson, Guthrie.","New York : Popular Library,  1954, 1953"
Revolt of Gunner Asch. Translated by Robert Kee.,"Kirst, Hans Hellmut, 1914-1989.; Kee, Robert,","Boston : Little, Brown, 1955"
Twelve o'clock high! /,"Lay, Beirne, 1909-; Bartlett, Sy,","New York : Dodd, Mead, 1948"
Max Shulman's large economy size /,"Shulman, Max, 1919-1988.","Garden City, N.Y. : Doubleday, 1953"
The second step slowly /,"Strand, Marion B.",1945
Red Randall's one-man war,"Bowen, Robert Sidney, 1900-1977.","New York : Grosset & Dunlap, 1946"
The Night of the summer solstice & other stories of the Russian war.,"Van Doren, Mark,","New York : Holt, 1943"
The night of the summer solstice & other stories of the Russian war /,"Van Doren, Mark,","New York : Council on Books in Wartime, 1943"
Dave Dawson at Dunkirk,"Bowen, Robert Sidney, 1900-1977.","Akron, OH ; New York : Crown Publishers, 1941"
The job /,"Green, Henry, 1905-1974.; Koestler, Arthur,","London,  1940-1942"
"""Burma mission"" /","Scott, G. L.","London : John Spencer, 1950"
Behind silver bars /,"James, Lenue T.",1949
HMS Ulysses /,"MacLean, Alistair, 1922-1987.","Oxford, England : Compass Press 1955"
Island 49,"Miller, Merle, 1919-1986.","New York, Thomas Y. Crowell Co. 1945"
A Yankee flier in the Far East,"Avery, Al, 1896-1985.","New York : Grosset & Dunlap, 1942"
Panzer ghost division.,"Goethals, Thomas.","New York, Avon Publications 1955"
A Yankee flier in Italy,"Avery, Al, 1896-1985.","New York : Grosset & Dunlap, 1944"
A story about a real man.,"Polevoi, Boris Nikolaevich.","Moscow, Foreign Languages Pub. House, 1952"
"Cyanthology.  Publication:  [S.l. : s.n.], 1943   Document:  English :  Book   :  Mixed form         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Cyanthology.  Publication:  [S.l. : s.n.], 1943   Document:  English :  Book   :  Mixed form         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","[S.l. : s.n.], 1943"
Dawn breaks : a novel from the V-front /,"Weiskopf, F. C. 1900-1955.; Norden, Heinz,; Norden, Ruth,","New York : Duell, Sloan and Pearce, 1942"
"Desert rat ; and, Jaws of death.  Publication:  Sydney : Reigate, 1950s   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Desert rat ; and, Jaws of death.  Publication:  Sydney : Reigate, 1950s   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Sydney : Reigate, 1950s"
H.M.S. Ulysses,"MacLean, Alistair, 1922-","New York : Fawcett Crest, 1955"
Norma Kent of the WACS,"Snell, Roy J. 1878-","Racine, Wis. : Whitman, 1943"
The flying jet,"Cook, Canfield.","New York : Grosset & Dunlap, 1945"
Operation Havoc /,Kelleway Ben.,"North Sydney : Action Comics,  1950-1959?"
Moscow /,"Plivier, Theodor, 1892-1955.","London : Frederick Muller LTD, 1953"
All night long : a novel of guerrilla warfare in Russia.,"Caldwell, Erskine, 1903-1987.","London ; Melbourne, 1943"
All night long : a novel of guerilla warfare in Russia.,"Caldwell, Erskine.","New York : Book League of America, 1942"
The good shepherd.,"Forester, C. S. 1899-1966.","London : M. Joseph, 1955"
The flesh and the spirit /,"Shaw, Charles, 1900-1955.","New York : Popular Library, 1953"
"Landfall, a Channel story","Shute, Nevil, 1899-1960.","New York : Morrow, 1940"
"Tales of the South Pacific,","Michener, James A. 1907-","Montreal : Pock Books of Canada, 1947"
Landfall : a channel story /,"Shute, Nevil, 1899-1960.","Mattituck, NY : Amereon House,  1942, 1940"
"Tales of the South Pacific,","Michener, James A. 1907-1997.","New York, The Macmillan company,  1952, 1947"
Tales of the South Pacific. /,"Michener, James A. (James Albert), 1907-","New York : Macmillan Co., 1947"
Tales of the South Pacific /,"Michener, James Albert Schriftsteller, Kunstsammler, USA, 1907-1997.","New York : Macmillan, 1947"
A Yankee flier over Berlin,"Avery, Al, 1896-1985.","New York : Grosset & Dunlap, 1944"
The V plan,"Seton, Graham, 1890-1946.","[London] : Eyre and Spottiswoode, 1941"
Snowy Taylor fights in the Battle of Britain /,"Chatto, Keith, 1924-","Sydney : Reigate, 1950s"
Spitfires up! /,"Walker, Rowland, 1876-","London : A. & C. Black Ltd.,  1943, 1942"
The night of the summer solstice & other stories of the Russian war selected and with a preface.,"Van Doren, Mark, 1894-","New York : H. Holt and company, 1943"
Cloudless May,"Jameson, Storm, 1891-1986.","London : Macmillan & Co., 1943"
Presidential mission.,"Sinclair, Upton, 1878-1968.","NY : Viking Press, 1947"
A Bullet in the back /,"English, Hal.","Sydney : Reigate, 1950s"
Short story drafts 1940-1942?.,"Waldman, Emerson, 1912-",1940-1942
Lost squadron,"Cook, Canfield.","New York : Grosset & Dunlap, 1943"
The navigator /,"Roy, Jules, 1907-2000.","NY : Signet, 1955"
Sally Scott of the WAVES /,"Snell, Roy J. 1878-","Racine, Wis. : Whitman, 1943"
Position warfare and withdrawal.    Corp,"United States., Department of the Army., Historical Division.","[Washington, D.C.] : [publisher not identified], 1947"
Wings over Japan,"Cook, Canfield.","New York : Grosset & Dunlap, 1944"
Wings over Europe,"Waite, Jon.","New York : Cupples & Leon Co., 1943"
Soft as steel,"Pruett, Henry Ralph.","Boston : Christopher, 1950"
A sepoy's life story /,"Kaushala, R. S.","Ambala City [India] : Standard Pub., 1944"
"Dave Dawson, flight lieutenant","Bowen, Robert Sidney, 1900-1977.","New York : Crown, 1941"
The dusty mirror : a collection of original short stories /,"Dent, Gene H.","1952 Dissertation:  Thesis (M.A.)--Bowling Green State University, 1952."
Incident in Yorkville /,"Sterne, Emma Gelders, 1894-1971.","New York : Farrar & Rinehart, 1943"
The provincial lady in war-time,"Delafield, E. M., 1890-1943.; Illingworth, Leslie Gilbert,","London : Macmillan & Co. Ltd., 1940"
The provincial lady in war-time,"Delafield, E. M., 1890-1943.; Illingworth, Leslie Gilbert,","London : Macmillan & Co. Ltd., 1940"
Signal communications in the pocket of Stalingrad and communications with the outside.    Corp,"United States., Department of the Army., Historical Division.","[Washington, D.C.] : [publisher not identified], 1947"
"Pageant of Coney Island, the ballad of Big Ben (saga of the U.S.S. Franklin), Iwo Jima and and other poems and short stories. The weeping willows, Mudnumb's Christmas present and other short stories and poems /","Darlto, Albert.","Bayonne, N.J. : Albert Darlto, 1946"
Striking force /,"Jackson, L. K.","London : Trojan Publication, 1940s"
The wolf that fed us /,"Lowry, Robert, 1919-1994.; Rozen, George.","New York : Popular Library, 1949"
A Yankee flier on a rescue mission,"Avery, Al, 1896-1985.","New York : Grosset & Dunlap, 1945"
Commando captain /,"Walker, Rowland.; Drigin, S.","London : A. & C. Black Ltd.,  1943, 1942"
"The long alert, a novel","Gibbs, Philip, 1877-1962.","N.Y., Doubleday. 1941"
Victory for love /,"Wynne, Pamela.; Conner, McCauley.","Philadelphia, Pa. : Philadelphia Inquirer, 1943"
The ship.,"Forester, C. S. 1899-1966.","Toronto : S.J.R. Saunders,  1945, 1943"
The good shepherd [by] C.S. Forester.,"Forester, C. S. 1899-1966.","London, Joseph 1955"
We couldn't leave Dinah /,"Treadgold, Mary.; Tresilian, Stuart.","London : Cape,  1948, 1941"
Broad margin /,"Beverley-Giddings, A. R. 1899-","New York : Grosset & Dunlap, 1945"
The magnificent devils.,"Crockett, Lucy Herndon, 1914-","Sydney : Dymock's Book Arcade, 1954"
Augustus drives a jeep,"Henderson, Le Grand, 1901-1964.","Indianapolis ; New York : Bobbs-Merrill, 1944"
The tanks are coming,"Waite, Jon.","New York : Cupples & Leon Co., 1944"
"Frenzy in yellow : an ""on the spot"" war story /","Bradley, Russ.","Sydney : Calvert Pub. ; Melbourne : Distributed by Gordon and Gotch (A/SIA), 1950s"
Dave Dawson in Libya,"Bowen, Robert Sidney, 1900-1977.","New York : Crown Publishers, 1941"
"Twenty and ten, ne du Bois.","Bishop, Claire Huchet.; Pne du Bois, William,","New York, Viking Press, 1952"
"Snowy Taylor - enemy target ; and, Deadline.  Publication:  Sydney : Reigate, 1950s   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Snowy Taylor - enemy target ; and, Deadline.  Publication:  Sydney : Reigate, 1950s   Document:  English :  Book   :  Fiction         Libraries Worldwide : 1   More Like This:  Advanced options ...   See more details for locating this item","Sydney : Reigate, 1950s"
The science of hatred /,"Sholokhov, Mikhail Aleksandrovich, 1905-1984.","Washington : Embassy of the Union of Soviet Socialist Republics, 1942"
The jacaranda tree,"Bates, H. E. 1905-1974.","London : Michael Joseph, 1949"
Dave Dawson at Casablanca,"Bowen, Robert Sidney, 1900-1977.","New York : Crown Publishers, 1944"
Moscow,"Plivier, Theodor, 1892-1955.","Garden City, N.Y. : Doubleday,  1954, 1953"
The night of the summer solstice : & other stories of the Russian war /,"Van Doren, Mark,","New York : H. Holt,  1944, 1943"
The cruise of the Breadwinner,"Bates, H. E. 1905-1974.","London : Michael Joseph Ltd., 1946"
"The Secret Cave: (Twenty and ten),","Bishop, Claire Huchet.; Du Bois, William Pne,","New York, Scholastic, 1952"
Maybe I'm dead /,"Klaas, Joe.; Schwartz, Daniel,","New York, N.Y. : Dell, 1955"
The wife.,"Kataev, Valentin, 1897-1986.","London ; New York : Hutchinson International Authors, 1946"
Death to the fifth column /,"Newman, Bernard, 1897-1968.","London : V. Gollancz, 1941"
Dick Donnelly of the paratroops story /,"McClintock, Marshall, 1906-","Racine, Wis. : Whitman, 1944"
Retreat from Rostov : a novel by Paul Hughes.,"Hughes, Paul, 1916-","New York : Random house, 1943"
England is my village : [and other stories] /,"Rees, John Llewelyn, -1940.","Right Book Club, 1941"
England is my village /,"Rees, John Llewelyn, -1940.","London : Faber & Faber, 1941"
"The death of Lord Haw Haw, no. 1 personality of world war no. 2 : being an account of the last days of the foremost Nazi spy and news commentator, the mysterious English traitor /","Paul, Elliot, 1891-1958.","New York : Book League of America, 1940"
The winds are still /,"Hetherington, John, 1907-1974.","Londone : Allen and Unwin, 1948"
They flew alone /,"Church, A. E.","Sydney : Frank Johnson, 1946"
March Anson and Scoot Bailey of the U.S. Navy story /,"McClintock, Marshall, 1906-","Racine, Wis. : Whitman, 1944"
One master /,"Moore, Bertha B., 1890-","East Stroudsburg, Pa. : Pinebrook Book Club, 1944"
Red Randall on New Guinea,"Bowen, Robert Sidney, 1900-1977.","New York : Grosset & Dunlap, 1944"
